week,year,month,isoweek,isoYear,date,division,cases,pop
1,2006,1,2006-W01-1,2006,02/01/2006,central,0,342594
2,2006,1,2006-W02-1,2006,09/01/2006,central,0,342594
3,2006,1,2006-W03-1,2006,16/01/2006,central,0,342594
4,2006,1,2006-W04-1,2006,23/01/2006,central,0,342594
5,2006,1,2006-W05-1,2006,30/01/2006,central,0,342594
6,2006,2,2006-W06-1,2006,06/02/2006,central,0,342594
7,2006,2,2006-W07-1,2006,13/02/2006,central,0,342594
8,2006,2,2006-W08-1,2006,20/02/2006,central,0,342594
9,2006,2,2006-W09-1,2006,27/02/2006,central,0,342594
10,2006,3,2006-W10-1,2006,06/03/2006,central,0,342594
11,2006,3,2006-W11-1,2006,13/03/2006,central,0,342594
12,2006,3,2006-W12-1,2006,20/03/2006,central,0,342594
13,2006,3,2006-W13-1,2006,27/03/2006,central,0,342594
14,2006,4,2006-W14-1,2006,03/04/2006,central,0,342594
15,2006,4,2006-W15-1,2006,10/04/2006,central,0,342594
16,2006,4,2006-W16-1,2006,17/04/2006,central,0,342594
17,2006,4,2006-W17-1,2006,24/04/2006,central,0,342594
18,2006,5,2006-W18-1,2006,01/05/2006,central,0,342594
19,2006,5,2006-W19-1,2006,08/05/2006,central,0,342594
20,2006,5,2006-W20-1,2006,15/05/2006,central,0,342594
21,2006,5,2006-W21-1,2006,22/05/2006,central,0,342594
22,2006,5,2006-W22-1,2006,29/05/2006,central,0,342594
23,2006,6,2006-W23-1,2006,05/06/2006,central,0,342594
24,2006,6,2006-W24-1,2006,12/06/2006,central,0,342594
25,2006,6,2006-W25-1,2006,19/06/2006,central,0,342594
26,2006,6,2006-W26-1,2006,26/06/2006,central,0,342594
27,2006,7,2006-W27-1,2006,03/07/2006,central,0,342594
28,2006,7,2006-W28-1,2006,10/07/2006,central,0,342594
29,2006,7,2006-W29-1,2006,17/07/2006,central,0,342594
30,2006,7,2006-W30-1,2006,24/07/2006,central,0,342594
31,2006,7,2006-W31-1,2006,31/07/2006,central,0,342594
32,2006,8,2006-W32-1,2006,07/08/2006,central,0,342594
33,2006,8,2006-W33-1,2006,14/08/2006,central,0,342594
34,2006,8,2006-W34-1,2006,21/08/2006,central,0,342594
35,2006,8,2006-W35-1,2006,28/08/2006,central,0,342594
36,2006,9,2006-W36-1,2006,04/09/2006,central,0,342594
37,2006,9,2006-W37-1,2006,11/09/2006,central,1,342594
38,2006,9,2006-W38-1,2006,18/09/2006,central,1,342594
39,2006,9,2006-W39-1,2006,25/09/2006,central,1,342594
40,2006,10,2006-W40-1,2006,02/10/2006,central,0,342594
41,2006,10,2006-W41-1,2006,09/10/2006,central,1,342594
42,2006,10,2006-W42-1,2006,16/10/2006,central,0,342594
43,2006,10,2006-W43-1,2006,23/10/2006,central,0,342594
44,2006,10,2006-W44-1,2006,30/10/2006,central,0,342594
45,2006,11,2006-W45-1,2006,06/11/2006,central,1,342594
46,2006,11,2006-W46-1,2006,13/11/2006,central,0,342594
47,2006,11,2006-W47-1,2006,20/11/2006,central,0,342594
48,2006,11,2006-W48-1,2006,27/11/2006,central,0,342594
49,2006,12,2006-W49-1,2006,04/12/2006,central,0,342594
50,2006,12,2006-W50-1,2006,11/12/2006,central,2,342594
51,2006,12,2006-W51-1,2006,18/12/2006,central,1,342594
1,2007,1,2007-W01-1,2007,01/01/2007,central,2,342594
2,2007,1,2007-W02-1,2007,08/01/2007,central,1,342594
3,2007,1,2007-W03-1,2007,15/01/2007,central,1,342594
4,2007,1,2007-W04-1,2007,22/01/2007,central,0,342594
5,2007,1,2007-W05-1,2007,29/01/2007,central,0,342594
6,2007,2,2007-W06-1,2007,05/02/2007,central,1,342594
